985,AMBÉ,6050
988,JARDIM PAINEIRA,65633
989,PARQUE PIRATININGA,65633
990,POVOADO OLHOS D'ÁGUA DE CAATINGA DO MOURA,36510
992,VILA PAULISTÂNIA,71072
995,FRIMISA,51551
996,SANTANA DO TABULEIRO,50792
997,COQUEIRO,4154
999,CENTRO,19569
1000,CENTRO,34690
957,CENTRO,85073
986,SAO LAZARO,6050
1001,CENTRO,42560
1004,JARDIM BROOKLIN,70750
1005,POVOADO MATA DE ZE ROBERTO - ZONA RURAL,8141
1006,CENTRO,95036
1009,CENTRO,47996
1011,ZONA RURAL,11398
1012,PONTO CERTO,34134
1014,CENTRO,76635
1015,CENTRO,75620
1017,WILLIAMS,64351
1018,REBELO,64351
1019,CENTRO,78530
1020,CENTRO,74454
1021,POPULAR,96059
1023,POVOADO SAQUINHO,32476
1025,BRILHANTE I,81612
1028,PARQUE DA AREIA PRETA,56472
1029,CENTRO,49190
1030,JARDIM MARIA LUIZA,71072
1031,CENTRO-ZONA URBANA,9270
1033,SETOR SANTA EFIGENIA,92894
1036,RECANTO SAO JOSE,71510
1037,JARDIM ALTEROPOLIS,71510
1038,JARDIM CACIQUE,71510
1039,VILA TOMÉ,74446
1042,NOVA JERUSALÉM,3093
1045,POVOADO EMBIRA,34959
1046,JARDIM NOVO MUNDO,93734
1047,VILA MARIA LUIZA,93734
1049,POVOADO PETROLINA - ZONA RURAL,8036
1050,PARQUE BRASIL,71072
1053,ZONA RURAL,11150
1055,CONJUNTO HABITACIONAL SAO JOSE,62936
1058,VILA RICA,88935
1060,SECULO XX,85995
1061,ZONA RURAL,17035
1062,B. DA SAUDADE,18058
1063,QUADRA 12,25194
1066,BAIRRO DO CAMPO,28754
1069,VILA SONIA,70793
1071,CENTRO,41483
1072,JARDIM DO SOL,76678
1073,ZONA RURAL,41327
1074,CIDADE PARQUE ALVORADA,64777
1075,POVOADO LAGOA DE MARIA CLEMÊNCIA,39659
1076,PESSEGUEIROS,59153
1078,VILA LEO LYNCE,93750
1080,ZONA RURAL,10480
1082,JARDIM NAIR,71072
1083,BAIRRO DO ALTO,22314
1084,JARDIM RUTH,71072
1085,JARDIM SÃO CARLOS (ZONA LESTE),71072
1090,CENTRO,51276
1092,LUTZ,87777
1094,COHAB ANIL IV - ZONA URBANA,9210
1096,CENTRO,4340
1098,ALTAMIRO GUIMARÃES,83453
1099,CENTRO,87777
1100,POVOADO COCHÓ DO MALHEIRO,38970
1101,CENTRO,24970
1102,CENTRO,74764
1103,LINHA BOM JESUS,74896
1104,MORRINHOS,48658
1105,CENTRO,30970
1106,POVOADO POCO,38334
1107,CIDADE DA CRIANCA,19933
1108,CENTRO,93238
1109,VILA FONSECA,40215
1110,CENTRO,56227
1112,JARDIM SÃO LEOPOLDO,70998
1113,CENTRO,70998
1114,PENHA DE FRANÇA,71072
1115,CONJUNTO WALFREDO GURGEL,17590
1116,SEDE,13188
1117,DOURADO,13188
1118,CENTRO,48615
1120,VALE DO REDENTOR,70955
1122,ZONA RURAL,4286
1125,PLANEJADA II,62510
1128,CONJUNTO HABITACIONAL PADRE ALDO BOLINI,62510
1132,JARDIM EUROPA,62510
1133,AEROPORTO,6025
1134,JARDIM NOVA AMÉRICA,67890
1135,JEQUIEZINHO,36617
1136,RESIDENCIAL VALE DOS SONHOS,93734
1137,POVOADO FRISUBA,36617
1140,CENTRO,62553
1141,POVOADO WANDERLEY,33537
1142,CENTRO,75507
1143,CENTRO,47252
1144,TIBIRICA,85596
1145,POVOADO LAGEDÃO,35637
1146,AEROPORTO,96210
1147,POVOADO MONTEVIDINHA,38636
1149,CENTRO,98159
1150,INTERIOR,88870
1151,CIDADE JARDIM,93734
1152,CENTRO - DISTRITO DE PROVIDENCIA,47678
1153,ALTO DO ASILO,50814
1154,ZONA RURAL,27570
1156,NAZARE / IMOBILIÁRIA,4251
1157,CENTRO-ZONA URBANA,7323
1160,CENTRO,35696
1162,MARABÁ,79316
1166,SANTA MARTINHA,50911
1167,CENTRO,28630
1168,POVOADO DE ESPIGÃO,44857
1169,CENTRO,37583
1170,FLAMBOYANT 2,94617
1172,CIDADE MONUMENTO,37397
1174,RIACHO DO MEIO,15270
1175,MARILIA,47430
1177,ZONA RURAL,10685
1183,CURUPIRA-DISTRITO,13307
1184,SERRAGEM-DISTRITO,13307
1187,CENTRO,52132
1188,ALVES,79014
1189,CENTRO,43532
1191,VILA ELVIRA ZONA URBANA,8478
1192,VILA SANTANA,71072
1193,ZONA RURAL,17590
1195,PARQUE BOTURUSSU,71072
1198,CENTRO,84611
1199,POVOADO DE PASSAGEM FUNDA,38970
1201,VILA BELO HORIZONTE,90514
1202,COHAB TURU - ZONA URBANA,9210
1203,COHATRAC III - ZONA URBANA,9210
1204,CENTRO,62308
1205,DISTRITO STELA CÂMARA DUBOIS,36536
1207,CENTRO,4103
1210,REGIÃO DO CEDRO,36536
1212,AREIA BRANCA DOS ASSIS,76791
1213,TROPERABA,74055
1214,CENTRO,42390
1215,DISTRITO DE PENHA CAPIM,40215
1216,VILA ELZE,71072
1217,CENTRO,35793
1218,JARDIM SHANGRILA(ZONA NORTE),71072
1221,VILA SANCHES,66230
1223,NOVA BAHIA,90514
1224,JARDIM NILÓPOLIS,62910
